"""","総  数","第1次産業_農  業","第1次産業_林  業","第1次産業_漁  業","第2次産業_鉱業,砕石業砂利採取業","第2次産業_建設業","第2次産業_製造業","第3次産業_ 電気･ｶﾞｽ･ 熱供給･ 水道業","第3次産業_情報通信業　"
" 総  数","450969.0","38050.0","1297.0","2576.0","43.0","34416.0","63357.0","2959.0","4438.0"
"","","","","","","","","",""
"　和歌山市","162925.0","2862.0","44.0","295.0","13.0","12432.0","24752.0","1222.0","2282.0"
"　海 南 市","24225.0","2369.0","6.0","83.0","2.0","1723.0","4708.0","181.0","215.0"
"　橋 本 市","30179.0","1711.0","39.0","2.0","3.0","1687.0","4650.0","240.0","438.0"
"　有 田 市","14050.0","1848.0","4.0","372.0","1.0","1368.0","2706.0","59.0","73.0"
"　御 坊 市","11277.0","1341.0","9.0","94.0","1.0","966.0","1392.0","183.0","74.0"
"　田 辺 市","36745.0","4188.0","403.0","216.0","4.0","3016.0","3897.0","199.0","290.0"
"　新 宮 市","13235.0","170.0","114.0","38.0","6.0","1285.0","837.0","118.0","81.0"
"　紀の川市","31428.0","5863.0","20.0","10.0","1.0","2085.0","4618.0","133.0","244.0"
"　岩 出 市","23507.0","748.0","9.0","4.0","2.0","1746.0","3668.0","154.0","222.0"
"","","","","","","","","",""
"  紀美野町","4743.0","612.0","12.0","4.0","1.0","348.0","991.0","30.0","36.0"
"","","","","","","","","",""
"　かつらぎ町","8921.0","2182.0","22.0","4.0","6.0","556.0","1326.0","47.0","51.0"
"　九度山町","2326.0","529.0","9.0","-","1.0","134.0","341.0","9.0","25.0"
"　高 野 町","1989.0","70.0","29.0","-","-","127.0","142.0","7.0","13.0"
"","","","","","","","","",""
"　湯 浅 町","6204.0","905.0","3.0","97.0","-","555.0","883.0","19.0","32.0"
"　広 川 町","3591.0","813.0","15.0","39.0","-","321.0","488.0","15.0","13.0"
"　有田川町","13671.0","3983.0","74.0","2.0","-","1075.0","1561.0","61.0","50.0"
"","","","","","","","","",""
"　美 浜 町","3454.0","185.0","2.0","68.0","-","303.0","387.0","28.0","21.0"
"　日 高 町","3408.0","495.0","6.0","84.0","-","261.0","453.0","28.0","29.0"
"　由 良 町","2937.0","357.0","1.0","101.0","-","248.0","493.0","13.0","15.0"
"　印 南 町","4327.0","1416.0","26.0","35.0","-","281.0","574.0","16.0","19.0"
"　みなべ町","7314.0","2644.0","47.0","143.0","-","430.0","1078.0","16.0","19.0"
"　日高川町","5002.0","1145.0","143.0","8.0","-","470.0","557.0","34.0","18.0"
"","","","","","","","","",""
"　白 浜 町","10045.0","483.0","37.0","133.0","-","814.0","914.0","46.0","58.0"
"　上富田町","6686.0","494.0","35.0","12.0","2.0","646.0","837.0","37.0","42.0"
"　すさみ町","1920.0","123.0","36.0","89.0","-","211.0","181.0","6.0","3.0"
"","","","","","","","","",""
"　那智勝浦町","7248.0","225.0","60.0","173.0","-","530.0","453.0","27.0","43.0"
"　太 地 町","1354.0","7.0","7.0","85.0","-","94.0","89.0","9.0","5.0"
"　古座川町","1131.0","94.0","37.0","6.0","-","104.0","70.0","-","2.0"
"　北 山 村","159.0","8.0","5.0","-","-","18.0","10.0","-","-"
"　串 本 町","6968.0","180.0","43.0","379.0","-","582.0","301.0","22.0","25.0"
